Variant,Number of page views,GMV (in $),Number of add to cart,Clicks on media,Time on Page (sec),user_id
A,5,0.0,0,2,74,0
A,4,0.0,4,1,21,1
A,4,0.0,2,0,1,2
A,5,0.0,0,1,26,3
A,5,0.0,3,3,46,4
A,3,0.0,1,1,31,5
A,5,0.0,2,1,18,6
A,4,0.0,2,0,22,7
A,6,0.0,0,2,91,8
A,7,0.0,2,3,2,9
A,2,0.0,5,1,22,10
A,5,0.0,2,1,7,11
A,5,0.0,3,1,20,12
A,6,0.0,0,2,19,13
A,4,0.0,2,0,4,14
A,6,0.0,1,4,5,15
A,6,0.0,3,2,19,16
A,1,0.0,2,0,3,17
A,7,0.0,1,2,7,18
A,2,0.0,2,1,36,19
A,11,121.72,1,2,8,20
A,4,0.0,2,1,14,21
A,3,80.0,5,1,56,22
A,8,0.0,3,2,6,23
A,3,0.0,4,2,10,24
A,3,0.0,2,0,19,25
A,5,0.0,2,2,28,26
A,8,0.0,0,1,46,27
A,3,0.0,2,0,49,28
A,2,0.0,1,1,30,29
A,5,97.65,1,2,6,30
A,3,0.0,2,1,1,31
A,8,0.0,3,1,10,32
A,10,0.0,1,3,3,33
A,3,0.0,2,1,25,34
A,2,0.0,1,2,22,35
A,5,0.0,2,4,1,36
A,7,0.0,1,2,36,37
A,6,0.0,1,2,6,38
A,6,0.0,3,2,12,39
A,2,0.0,3,1,22,40
A,4,0.0,1,0,11,41
A,9,0.0,0,2,12,42
A,7,0.0,3,0,2,43
A,11,0.0,3,1,11,44
A,8,0.0,3,1,29,45
A,3,0.0,0,1,49,46
A,2,0.0,0,1,11,47
A,3,0.0,0,1,11,48
A,4,0.0,4,1,24,49
A,5,125.47,1,0,56,50
A,5,0.0,3,2,7,51
A,4,0.0,0,1,12,52
A,3,0.0,0,1,31,53
A,8,0.0,4,5,19,54
A,2,0.0,1,0,3,55
A,1,0.0,2,0,20,56
A,4,0.0,4,1,5,57
A,5,0.0,1,3,14,58
A,4,0.0,0,2,15,59
A,3,0.0,1,2,41,60
A,4,0.0,2,1,13,61
A,8,0.0,1,6,7,62
A,2,0.0,1,0,6,63
A,2,98.22,1,0,41,64
A,2,0.0,3,1,4,65
A,7,0.0,1,4,11,66
A,6,0.0,1,0,5,67
A,7,71.68,3,1,29,68
A,6,0.0,1,0,13,69
A,7,0.0,2,1,9,70
A,6,0.0,0,1,9,71
A,4,0.0,1,3,38,72
A,2,0.0,3,1,16,73
A,3,0.0,1,1,25,74
A,4,0.0,4,2,45,75
A,7,0.0,2,2,46,76
A,4,0.0,0,2,8,77
A,3,0.0,4,1,60,78
A,2,0.0,2,0,1,79
A,6,0.0,1,2,10,80
A,3,0.0,1,1,45,81
A,5,0.0,2,2,7,82
A,9,0.0,1,6,7,83
A,6,0.0,2,1,8,84
A,6,0.0,2,3,19,85
A,9,0.0,1,1,12,86
A,4,0.0,1,2,26,87
A,9,0.0,5,2,44,88
A,2,0.0,1,0,22,89
A,10,0.0,6,2,5,90
A,6,0.0,4,2,53,91
A,9,0.0,2,1,6,92
A,4,0.0,1,3,4,93
A,1,0.0,1,0,2,94
A,6,0.0,3,4,17,95
A,8,0.0,2,3,3,96
A,6,0.0,1,1,3,97
A,2,0.0,4,0,7,98
A,3,0.0,2,1,7,99
A,5,0.0,1,2,19,100
A,3,0.0,3,1,34,101
A,3,0.0,2,1,28,102
A,5,0.0,4,1,6,103
A,6,0.0,4,5,6,104
A,5,0.0,1,1,66,105
A,3,0.0,4,1,1,106
A,5,0.0,0,1,42,107
A,3,92.31,3,1,5,108
A,3,0.0,3,1,58,109
A,6,0.0,2,1,9,110
A,5,0.0,3,0,12,111
A,6,0.0,1,0,24,112
A,2,0.0,4,0,18,113
A,4,0.0,3,1,8,114
A,7,0.0,0,5,16,115
A,6,0.0,2,2,26,116
A,5,0.0,1,1,1,117
A,4,0.0,0,2,1,118
A,3,0.0,3,1,12,119
A,3,102.98,1,1,3,120
A,7,130.64,1,1,22,121
A,7,0.0,1,2,5,122
A,6,0.0,4,4,12,123
A,6,0.0,3,2,5,124
A,7,0.0,0,2,16,125
A,8,0.0,1,3,3,126
A,6,0.0,4,3,1,127
A,3,0.0,2,0,2,128
A,7,0.0,1,2,61,129
A,5,0.0,2,3,3,130
A,5,0.0,1,1,25,131
A,7,0.0,3,3,2,132
A,4,0.0,3,1,3,133
A,9,0.0,6,3,14,134
A,4,0.0,1,1,13,135
A,5,0.0,3,1,60,136
A,2,0.0,1,1,57,137
A,6,0.0,4,1,30,138
A,3,0.0,2,1,18,139
A,6,0.0,3,1,12,140
A,2,0.0,1,0,9,141
A,3,0.0,2,2,58,142
A,5,0.0,2,1,19,143
A,3,0.0,2,2,17,144
A,4,0.0,1,0,6,145
A,5,0.0,4,2,1,146
A,6,0.0,1,1,57,147
A,3,0.0,1,2,8,148
A,3,86.06,2,1,12,149
A,4,0.0,2,0,3,150
A,5,0.0,5,3,36,151
A,4,0.0,0,0,1,152
A,2,0.0,0,1,36,153
A,6,0.0,2,4,3,154
A,6,0.0,1,3,43,155
A,8,0.0,4,5,26,156
A,1,0.0,4,0,4,157
A,6,0.0,2,0,17,158
A,2,0.0,1,0,8,159
A,5,0.0,1,1,4,160
A,2,0.0,4,1,39,161
A,6,0.0,1,1,11,162
A,4,83.07,8,2,10,163
A,3,0.0,0,0,4,164
A,5,0.0,1,1,10,165
A,6,0.0,3,2,41,166
A,3,0.0,1,1,9,167
A,4,0.0,3,2,60,168
A,8,99.65,2,1,58,169
A,4,0.0,2,2,4,170
A,10,0.0,1,1,4,171
A,4,0.0,2,0,39,172
A,5,0.0,0,2,10,173
A,10,0.0,1,5,1,174
A,3,0.0,0,0,7,175
A,4,99.42,5,1,18,176
A,7,0.0,4,2,32,177
A,5,0.0,3,1,3,178
A,10,0.0,1,4,3,179
A,4,0.0,2,2,50,180
A,2,73.63,1,0,28,181
A,3,0.0,4,1,18,182
A,5,0.0,1,2,29,183
A,8,0.0,0,2,11,184
A,4,0.0,3,1,28,185
A,3,0.0,1,0,10,186
A,8,0.0,3,3,6,187
A,6,0.0,0,1,26,188
A,8,0.0,2,4,11,189
A,3,0.0,2,1,78,190
A,3,0.0,1,0,9,191
A,5,0.0,3,3,50,192
A,11,0.0,3,1,53,193
A,7,0.0,1,2,6,194
A,4,0.0,1,1,32,195
A,3,0.0,3,0,12,196
A,8,0.0,1,4,49,197
A,8,0.0,0,3,12,198
A,3,0.0,1,0,27,199
A,3,0.0,3,1,13,200
A,6,0.0,4,2,6,201
A,2,0.0,2,1,5,202
A,7,0.0,0,1,11,203
A,5,0.0,2,2,28,204
A,5,0.0,1,1,19,205
A,6,0.0,3,2,23,206
A,1,0.0,2,0,7,207
A,10,115.1,2,2,13,208
A,2,0.0,2,1,1,209
A,5,0.0,0,1,34,210
A,4,0.0,3,3,90,211
A,5,0.0,2,1,11,212
A,4,0.0,0,2,1,213
A,5,0.0,2,3,4,214
A,6,0.0,2,2,21,215
A,1,0.0,2,1,19,216
A,3,0.0,2,2,31,217
A,2,0.0,3,0,6,218
A,5,88.56,1,2,29,219
A,4,0.0,2,0,23,220
A,7,0.0,2,2,8,221
A,7,0.0,3,1,16,222
A,2,0.0,2,1,4,223
A,6,0.0,4,2,12,224
A,7,0.0,2,2,42,225
A,2,0.0,1,0,11,226
A,7,0.0,1,6,36,227
A,5,0.0,0,0,18,228
A,7,0.0,2,0,5,229
A,6,0.0,4,1,17,230
A,5,101.39,1,4,14,231
A,6,0.0,0,4,10,232
A,5,0.0,2,2,3,233
A,4,0.0,0,2,11,234
A,7,0.0,0,1,2,235
A,1,0.0,3,1,3,236
A,8,0.0,2,1,11,237
A,4,85.63,3,0,8,238
A,5,112.65,1,0,51,239
A,3,0.0,1,1,10,240
A,7,0.0,2,3,28,241
A,2,0.0,4,0,15,242
A,5,0.0,3,4,24,243
A,10,0.0,1,3,6,244
A,7,0.0,4,1,56,245
A,7,112.27,1,2,15,246
A,10,0.0,3,4,35,247
A,1,0.0,1,1,9,248
A,5,0.0,1,1,3,249
A,3,84.42,2,1,22,250
A,8,0.0,3,2,1,251
A,7,0.0,1,2,13,252
A,3,0.0,3,3,5,253
A,1,0.0,2,0,20,254
A,5,0.0,2,3,76,255
A,3,0.0,2,1,13,256
A,6,0.0,0,1,34,257
A,3,0.0,5,2,14,258
A,4,0.0,2,1,14,259
A,5,0.0,2,1,52,260
A,8,0.0,0,1,44,261
A,7,0.0,4,1,31,262
A,5,111.33,1,2,7,263
A,4,0.0,1,1,16,264
A,6,0.0,5,3,5,265
A,8,0.0,0,1,12,266
A,4,0.0,2,0,13,267
A,3,0.0,1,0,35,268
A,2,0.0,3,1,45,269
A,3,0.0,2,3,11,270
A,9,0.0,5,3,1,271
A,5,0.0,3,1,39,272
A,4,0.0,2,2,4,273
A,7,0.0,2,3,19,274
A,8,0.0,1,0,1,275
A,4,0.0,0,2,10,276
A,4,70.31,1,1,84,277
A,8,0.0,3,1,3,278
A,5,0.0,1,1,11,279
A,5,0.0,1,1,8,280
A,6,0.0,0,2,46,281
A,7,0.0,2,1,40,282
A,2,0.0,3,0,6,283
A,1,0.0,4,1,2,284
A,7,100.08,2,5,20,285
A,5,0.0,3,2,8,286
A,4,0.0,3,1,22,287
A,4,0.0,2,1,1,288
A,3,0.0,3,0,3,289
A,8,0.0,0,1,23,290
A,7,0.0,2,2,5,291
A,1,0.0,2,0,38,292
A,2,0.0,4,1,2,293
A,4,0.0,2,2,5,294
A,6,0.0,2,1,128,295
A,4,0.0,2,1,12,296
A,6,0.0,2,2,24,297
A,8,0.0,1,2,4,298
A,7,0.0,2,1,19,299
A,5,0.0,3,1,26,300
A,2,0.0,1,0,8,301
A,1,0.0,3,0,35,302
A,7,0.0,3,3,19,303
A,4,0.0,1,2,10,304
A,1,0.0,1,0,16,305
A,6,0.0,4,0,17,306
A,5,0.0,2,2,4,307
A,8,0.0,1,1,11,308
A,5,83.84,1,1,9,309
A,4,0.0,0,0,10,310
A,10,76.83,2,2,28,311
A,7,0.0,3,3,13,312
A,4,140.5,2,2,55,313
A,8,0.0,1,1,7,314
A,5,0.0,1,1,11,315
A,5,0.0,4,0,31,316
A,5,0.0,1,0,16,317
A,2,109.36,1,2,16,318
A,3,0.0,3,1,2,319
A,4,0.0,1,1,10,320
A,9,96.38,1,4,7,321
A,0,0.0,0,0,143,322
A,5,0.0,2,2,8,323
A,5,0.0,2,0,43,324
A,5,152.61,2,1,22,325
A,5,0.0,2,2,9,326
A,4,0.0,3,1,16,327
A,9,0.0,3,6,36,328
A,6,0.0,5,2,42,329
A,2,0.0,1,2,4,330
A,6,70.36,3,1,9,331
A,6,98.98,1,3,8,332
A,6,0.0,0,1,1,333
A,5,0.0,2,4,18,334
A,2,0.0,3,0,38,335
A,5,0.0,1,1,10,336
A,3,0.0,4,2,27,337
A,3,82.4,1,1,20,338
A,3,0.0,0,1,10,339
A,6,0.0,2,4,3,340
A,6,0.0,0,2,25,341
A,4,0.0,4,1,38,342
A,5,0.0,1,0,23,343
A,5,0.0,2,3,1,344
A,7,0.0,1,3,5,345
A,5,111.1,1,1,2,346
A,3,0.0,1,0,17,347
A,4,0.0,2,1,28,348
A,7,0.0,1,0,3,349
A,5,0.0,2,0,36,350
A,7,0.0,3,2,16,351
A,8,0.0,4,1,23,352
A,7,91.51,2,1,70,353
A,5,0.0,2,2,2,354
A,8,0.0,3,0,46,355
A,4,0.0,3,1,3,356
A,6,0.0,2,1,10,357
A,8,0.0,3,3,38,358
A,6,0.0,1,2,47,359
A,3,0.0,4,1,14,360
A,8,0.0,0,1,18,361
A,4,0.0,5,0,25,362
A,7,0.0,2,0,35,363
A,2,0.0,1,0,3,364
A,10,0.0,1,5,33,365
A,6,67.52,1,1,13,366
A,4,0.0,2,1,12,367
A,5,0.0,1,0,11,368
A,6,0.0,4,2,14,369
A,4,0.0,3,2,57,370
A,5,0.0,0,2,16,371
A,6,0.0,2,3,60,372
A,3,0.0,0,1,4,373
A,7,0.0,0,1,26,374
A,7,0.0,2,1,33,375
A,8,0.0,3,3,23,376
A,4,0.0,2,1,19,377
A,7,0.0,2,2,17,378
A,3,0.0,1,1,39,379
A,4,0.0,0,1,34,380
A,4,0.0,2,2,3,381
A,0,0.0,0,0,37,382
A,1,0.0,3,1,11,383
A,1,0.0,3,0,6,384
A,7,0.0,3,3,40,385
A,5,0.0,0,3,12,386
A,5,0.0,1,1,33,387
A,8,0.0,2,3,6,388
A,3,0.0,1,1,1,389
A,5,0.0,4,0,14,390
A,3,0.0,0,1,3,391
A,5,0.0,1,0,28,392
A,1,0.0,4,1,7,393
A,7,0.0,1,3,12,394
A,2,0.0,2,0,2,395
A,4,0.0,4,0,7,396
A,6,0.0,2,2,30,397
A,7,0.0,3,2,4,398
A,9,0.0,1,0,21,399
A,4,0.0,2,1,49,400
A,1,0.0,1,0,23,401
A,4,106.0,3,0,33,402
A,6,0.0,3,3,3,403
A,3,0.0,1,2,6,404
A,4,0.0,3,2,44,405
A,2,0.0,3,1,25,406
A,6,0.0,3,1,20,407
A,8,0.0,2,2,22,408
A,7,0.0,0,1,11,409
A,2,0.0,4,1,1,410
A,6,0.0,1,4,30,411
A,9,0.0,2,3,23,412
A,3,0.0,2,2,13,413
A,8,0.0,1,3,45,414
A,7,118.3,2,2,8,415
A,6,94.89,6,2,7,416
A,10,0.0,0,1,41,417
A,5,0.0,4,0,32,418
A,5,86.52,2,2,15,419
A,5,0.0,1,1,3,420
A,5,0.0,2,2,5,421
A,4,0.0,4,1,21,422
A,10,0.0,1,2,10,423
A,3,0.0,2,1,36,424
A,2,0.0,2,0,59,425
A,6,0.0,5,1,32,426
A,4,0.0,1,2,10,427
A,4,0.0,0,1,31,428
A,8,0.0,2,3,9,429
A,5,0.0,1,3,4,430
A,4,0.0,0,2,1,431
A,7,0.0,1,4,10,432
A,4,0.0,1,1,46,433
A,2,0.0,2,0,6,434
A,2,0.0,2,0,5,435
A,3,0.0,2,0,69,436
A,3,0.0,0,2,1,437
A,8,0.0,3,3,31,438
A,6,0.0,1,0,8,439
A,0,0.0,0,0,1,440
A,8,0.0,3,1,49,441
A,5,0.0,1,2,3,442
A,4,0.0,0,2,16,443
A,5,0.0,1,3,7,444
A,7,0.0,2,4,2,445
A,6,152.08,2,1,1,446
A,3,0.0,1,0,3,447
A,4,0.0,1,1,2,448
A,2,0.0,4,0,28,449
A,4,0.0,3,2,13,450
A,1,0.0,0,0,9,451
A,9,0.0,1,4,11,452
A,3,0.0,3,1,52,453
A,1,0.0,3,0,48,454
A,5,0.0,1,0,25,455
A,4,0.0,2,1,43,456
A,6,0.0,3,2,8,457
A,5,120.71,1,1,10,458
A,8,0.0,0,3,19,459
A,5,0.0,2,2,20,460
A,7,0.0,3,2,13,461
A,4,0.0,2,2,10,462
A,1,0.0,3,0,84,463
A,5,0.0,0,2,34,464
A,4,0.0,2,2,12,465
A,3,102.17,4,3,26,466
A,2,0.0,4,0,7,467
A,12,0.0,2,3,3,468
A,5,0.0,2,0,9,469
A,10,0.0,1,2,11,470
A,6,0.0,1,2,1,471
A,1,0.0,0,1,33,472
A,6,0.0,2,1,9,473
A,2,0.0,0,0,17,474
A,4,0.0,1,1,2,475
A,5,0.0,3,1,4,476
A,8,0.0,0,2,43,477
A,4,0.0,2,0,19,478
A,2,0.0,1,1,59,479
A,1,0.0,2,0,131,480
A,8,0.0,0,2,10,481
A,8,0.0,2,3,7,482
A,4,0.0,1,1,39,483
A,1,0.0,3,0,129,484
A,9,0.0,3,3,20,485
A,4,0.0,2,2,31,486
A,2,0.0,2,0,30,487
A,4,0.0,2,1,9,488
A,3,0.0,0,2,17,489
A,8,0.0,2,3,35,490
A,9,0.0,2,2,23,491
A,4,0.0,1,0,1,492
A,4,0.0,3,0,9,493
A,5,0.0,1,0,4,494
A,11,0.0,1,4,6,495
A,8,0.0,2,0,46,496
A,6,0.0,1,1,1,497
A,2,0.0,1,1,5,498
A,8,0.0,0,2,8,499
A,7,0.0,3,3,19,500
A,6,0.0,2,3,15,501
A,5,0.0,2,1,5,502
A,3,0.0,4,1,4,503
A,5,0.0,1,2,6,504
A,3,0.0,3,1,14,505
A,3,0.0,2,0,7,506
A,7,97.8,2,2,58,507
A,4,0.0,1,3,13,508
A,4,0.0,3,1,2,509
A,6,0.0,1,1,26,510
A,6,76.23,2,2,8,511
A,3,128.87,1,1,21,512
A,4,0.0,3,1,7,513
A,6,0.0,3,2,17,514
A,6,0.0,1,2,29,515
A,6,0.0,2,3,52,516
A,6,0.0,0,2,6,517
A,3,0.0,2,1,8,518
A,5,0.0,2,0,13,519
A,2,0.0,0,1,52,520
A,5,0.0,3,3,46,521
A,3,0.0,4,0,2,522
A,3,0.0,0,1,3,523
A,5,0.0,3,1,14,524
A,11,0.0,1,4,3,525
A,7,0.0,2,3,9,526
A,7,0.0,3,1,4,527
A,4,0.0,2,2,20,528
A,1,0.0,0,0,59,529
A,4,0.0,0,2,112,530
A,5,0.0,1,1,10,531
A,4,0.0,4,1,18,532
A,4,0.0,1,0,38,533
A,7,0.0,0,1,3,534
A,6,0.0,2,2,23,535
A,8,0.0,0,2,11,536
A,4,0.0,3,0,5,537
A,3,0.0,3,0,11,538
A,0,0.0,0,0,2,539
A,4,0.0,4,2,24,540
A,1,0.0,0,1,6,541
A,4,0.0,4,0,8,542
A,3,0.0,1,1,3,543
A,5,0.0,2,0,39,544
A,6,91.63,1,3,14,545
A,6,0.0,1,3,17,546
A,4,0.0,4,2,17,547
A,4,0.0,0,3,11,548
A,5,0.0,0,2,5,549
A,1,0.0,3,1,27,550
A,9,0.0,1,3,3,551
A,7,0.0,2,1,3,552
A,5,0.0,1,1,25,553
A,4,0.0,2,1,5,554
A,5,0.0,3,2,8,555
A,4,0.0,3,0,13,556
A,1,0.0,1,0,12,557
A,3,0.0,1,1,25,558
A,7,0.0,1,1,20,559
A,6,0.0,2,2,21,560
A,10,0.0,2,5,25,561
A,4,0.0,4,2,7,562
A,5,0.0,4,2,8,563
A,6,0.0,4,2,12,564
A,6,0.0,2,2,8,565
A,8,0.0,2,1,82,566
A,4,0.0,0,2,33,567
A,3,0.0,2,0,4,568
A,3,0.0,1,0,1,569
A,9,0.0,2,4,1,570
A,7,0.0,2,1,6,571
A,2,0.0,1,0,3,572
A,2,0.0,5,0,15,573
A,4,0.0,1,0,39,574
A,6,0.0,3,1,27,575
A,9,0.0,2,1,5,576
A,11,0.0,3,4,10,577
A,4,0.0,4,2,14,578
A,7,0.0,1,2,33,579
A,7,0.0,0,4,36,580
A,3,0.0,4,0,47,581
A,7,0.0,3,1,14,582
A,5,0.0,1,0,24,583
A,2,0.0,2,1,3,584
A,9,0.0,4,2,17,585
A,6,109.9,3,2,6,586
A,3,67.72,1,1,12,587
A,6,0.0,0,2,20,588
A,3,0.0,4,1,6,589
A,2,0.0,1,2,2,590
A,8,0.0,1,2,1,591
A,4,0.0,3,1,1,592
A,5,0.0,3,2,1,593
A,4,0.0,2,1,3,594
A,3,0.0,0,0,6,595
A,4,0.0,3,1,5,596
A,3,114.15,1,1,85,597
A,11,0.0,1,3,8,598
A,6,0.0,2,1,3,599
A,5,0.0,1,3,16,600
A,5,0.0,1,2,39,601
A,5,0.0,2,1,23,602
A,3,0.0,1,1,7,603
A,6,0.0,3,3,17,604
A,4,0.0,1,0,25,605
A,5,0.0,1,1,26,606
A,3,0.0,4,1,22,607
A,7,0.0,1,3,40,608
A,3,0.0,3,0,40,609
A,6,0.0,1,4,17,610
A,7,0.0,0,2,11,611
A,1,0.0,3,0,21,612
A,6,0.0,1,1,34,613
A,4,0.0,0,0,1,614
A,2,0.0,3,1,95,615
A,2,0.0,1,2,4,616
A,5,0.0,1,1,13,617
A,5,0.0,4,3,41,618
A,3,81.45,2,2,5,619
A,5,0.0,3,1,13,620
A,11,0.0,2,4,3,621
A,2,0.0,1,0,10,622
A,6,0.0,0,2,4,623
A,5,77.11,2,0,9,624
A,3,0.0,0,1,10,625
A,4,0.0,3,0,98,626
A,10,0.0,1,4,103,627
A,1,0.0,0,1,3,628
A,8,0.0,1,1,26,629
A,3,0.0,1,0,2,630
A,5,0.0,4,1,1,631
A,4,0.0,3,1,3,632
A,11,0.0,3,2,66,633
A,3,0.0,1,1,56,634
A,4,0.0,2,1,5,635
A,3,0.0,3,0,4,636
A,3,0.0,3,0,6,637
A,8,0.0,4,1,15,638
A,1,0.0,0,1,17,639
A,5,0.0,0,3,5,640
A,7,0.0,3,2,28,641
A,3,0.0,2,1,8,642
A,7,73.2,1,1,50,643
A,5,0.0,1,2,21,644
A,7,0.0,1,1,12,645
A,5,0.0,3,2,31,646
A,7,0.0,1,4,34,647
A,5,0.0,0,1,7,648
A,4,111.98,1,2,9,649
A,5,68.22,5,0,54,650
A,11,0.0,1,3,4,651
A,7,0.0,0,1,1,652
A,6,0.0,3,1,12,653
A,3,0.0,2,0,32,654
A,0,0.0,0,0,29,655
A,10,0.0,1,3,50,656
A,5,0.0,4,1,15,657
A,5,0.0,1,2,3,658
A,3,0.0,2,2,18,659
A,4,0.0,2,1,30,660
A,2,0.0,1,0,2,661
A,2,0.0,4,0,4,662
A,7,0.0,1,3,1,663
A,3,0.0,0,1,18,664
A,1,0.0,2,0,43,665
A,3,0.0,0,0,22,666
A,7,0.0,3,2,79,667
A,5,0.0,0,1,2,668
A,5,0.0,5,3,46,669
A,4,80.58,3,2,33,670
A,5,0.0,1,0,8,671
A,5,78.27,2,1,71,672
A,3,0.0,2,0,7,673
A,3,0.0,2,1,43,674
A,6,0.0,1,3,42,675
A,6,0.0,4,2,28,676
A,4,0.0,1,1,17,677
A,9,0.0,4,2,3,678
A,6,0.0,0,3,15,679
A,5,0.0,2,2,9,680
A,5,0.0,2,1,31,681
A,4,0.0,1,0,28,682
A,10,0.0,4,2,48,683
A,6,0.0,2,4,1,684
